wavelength,M11,M12,M13,M14,M21,M22,M23,M24,M31,M32,M33,M34,M41,M42,M43,M44
804,1,0.471796,0,0,0.471796,1,0,0,0,0,0.496895,-0.728357,0,0,0.728357,0.496895
805,1,0.479143,0,0,0.479143,1,0,0,0,0,0.499758,-0.721571,0,0,0.721571,0.499758
806,1,0.486449,0,0,0.486449,1,0,0,0,0,0.502596,-0.714678,0,0,0.714678,0.502596
807,1,0.493708,0,0,0.493708,1,0,0,0,0,0.505414,-0.707678,0,0,0.707678,0.505414
808,1,0.500918,0,0,0.500918,1,0,0,0,0,0.508214,-0.70057,0,0,0.70057,0.508214
809,1,0.508076,0,0,0.508076,1,0,0,0,0,0.510995,-0.693356,0,0,0.693356,0.510995
810,1,0.515181,0,0,0.515181,1,0,0,0,0,0.513757,-0.686033,0,0,0.686033,0.513757
811,1,0.522233,0,0,0.522233,1,0,0,0,0,0.516494,-0.678607,0,0,0.678607,0.516494
812,1,0.529229,0,0,0.529229,1,0,0,0,0,0.519205,-0.671076,0,0,0.671076,0.519205
813,1,0.536166,0,0,0.536166,1,0,0,0,0,0.521895,-0.663439,0,0,0.663439,0.521895
814,1,0.543041,0,0,0.543041,1,0,0,0,0,0.524563,-0.655698,0,0,0.655698,0.524563
815,1,0.54985,0,0,0.54985,1,0,0,0,0,0.527209,-0.647854,0,0,0.647854,0.527209
816,1,0.556596,0,0,0.556596,1,0,0,0,0,0.529829,-0.639908,0,0,0.639908,0.529829
817,1,0.563279,0,0,0.563279,1,0,0,0,0,0.532417,-0.631862,0,0,0.631862,0.532417
818,1,0.56989,0,0,0.56989,1,0,0,0,0,0.534982,-0.623714,0,0,0.623714,0.534982
819,1,0.57643,0,0,0.57643,1,0,0,0,0,0.53752,-0.615468,0,0,0.615468,0.53752
820,1,0.582895,0,0,0.582895,1,0,0,0,0,0.540033,-0.607122,0,0,0.607122,0.540033
821,1,0.589284,0,0,0.589284,1,0,0,0,0,0.54252,-0.598678,0,0,0.598678,0.54252
822,1,0.595601,0,0,0.595601,1,0,0,0,0,0.544973,-0.59014,0,0,0.59014,0.544973
823,1,0.601838,0,0,0.601838,1,0,0,0,0,0.547395,-0.581507,0,0,0.581507,0.547395
824,1,0.607993,0,0,0.607993,1,0,0,0,0,0.549789,-0.57278,0,0,0.57278,0.549789
825,1,0.614064,0,0,0.614064,1,0,0,0,0,0.552155,-0.56396,0,0,0.56396,0.552155
826,1,0.620049,0,0,0.620049,1,0,0,0,0,0.554491,-0.555049,0,0,0.555049,0.554491
827,1,0.625949,0,0,0.625949,1,0,0,0,0,0.556794,-0.546048,0,0,0.546048,0.556794
828,1,0.631764,0,0,0.631764,1,0,0,0,0,0.559059,-0.536961,0,0,0.536961,0.559059
829,1,0.637487,0,0,0.637487,1,0,0,0,0,0.561294,-0.527787,0,0,0.527787,0.561294
830,1,0.643118,0,0,0.643118,1,0,0,0,0,0.563496,-0.518528,0,0,0.518528,0.563496
831,1,0.648654,0,0,0.648654,1,0,0,0,0,0.565667,-0.509185,0,0,0.509185,0.565667
832,1,0.654093,0,0,0.654093,1,0,0,0,0,0.567805,-0.49976,0,0,0.49976,0.567805
833,1,0.65944,0,0,0.65944,1,0,0,0,0,0.569902,-0.490256,0,0,0.490256,0.569902
834,1,0.664688,0,0,0.664688,1,0,0,0,0,0.571963,-0.480675,0,0,0.480675,0.571963
835,1,0.669835,0,0,0.669835,1,0,0,0,0,0.57399,-0.471017,0,0,0.471017,0.57399
836,1,0.674879,0,0,0.674879,1,0,0,0,0,0.575982,-0.461284,0,0,0.461284,0.575982
837,1,0.679819,0,0,0.679819,1,0,0,0,0,0.577939,-0.451478,0,0,0.451478,0.577939
838,1,0.684654,0,0,0.684654,1,0,0,0,0,0.579858,-0.441603,0,0,0.441603,0.579858
839,1,0.689389,0,0,0.689389,1,0,0,0,0,0.581733,-0.43166,0,0,0.43166,0.581733
840,1,0.694014,0,0,0.694014,1,0,0,0,0,0.583571,-0.42165,0,0,0.42165,0.583571
841,1,0.69853,0,0,0.69853,1,0,0,0,0,0.585373,-0.411575,0,0,0.411575,0.585373
842,1,0.702935,0,0,0.702935,1,0,0,0,0,0.587136,-0.401439,0,0,0.401439,0.587136
843,1,0.707228,0,0,0.707228,1,0,0,0,0,0.588862,-0.391241,0,0,0.391241,0.588862
844,1,0.711411,0,0,0.711411,1,0,0,0,0,0.590545,-0.380987,0,0,0.380987,0.590545
845,1,0.715483,0,0,0.715483,1,0,0,0,0,0.592185,-0.370677,0,0,0.370677,0.592185
846,1,0.719439,0,0,0.719439,1,0,0,0,0,0.593785,-0.360314,0,0,0.360314,0.593785
847,1,0.72328,0,0,0.72328,1,0,0,0,0,0.595346,-0.3499,0,0,0.3499,0.595346
848,1,0.727002,0,0,0.727002,1,0,0,0,0,0.596868,-0.339436,0,0,0.339436,0.596868
